ticket,opening_time_utc,closing_time_utc,type,lots,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd
76400343,2022-07-22T07:58:59.723000,2022-07-22T09:10:52.509000,buy,0.1,GBPUSDm,1.19279,1.19643,0,0,0,0,36.4
75526222,2022-07-21T15:05:25.527000,2022-07-22T08:28:48.888000,buy,0.2,USDCADm,1.28857,1.28744,0,0,0,0,-17.55
75959403,2022-07-21T23:22:40.834000,2022-07-22T04:56:29.634000,sell,0.1,AUDUSDm,0.69262,0.69032,0,0,0,0,23
75446492,2022-07-21T14:30:10.601000,2022-07-21T15:04:34.601000,buy,0.1,USDCADm,1.29373,1.28831,0,0,0,0,-42.07
74872793,2022-07-21T11:56:10.756000,2022-07-21T12:48:20.396000,buy,0.05,XAUUSDm,1684.95,1702.169,0,0,0,0,86.1
74872511,2022-07-21T11:55:52.836000,2022-07-21T11:55:58.925000,buy,0.5,XAUUSDm,1685.018,1684.823,0,0,0,0,-9.75
74639474,2022-07-21T07:51:54.422000,2022-07-21T08:13:11.529000,sell,0.5,GBPUSDm,1.19447,1.19243,0,0,0,0,102
74622648,2022-07-21T07:41:18.738000,2022-07-21T07:51:01.672000,buy,0.2,GBPUSDm,1.19647,1.19437,0,0,0,0,-42
74248370,2022-07-21T02:05:27.584000,2022-07-21T07:50:52.138000,buy,0.5,GBPUSDm,1.19846,1.19446,0,0,0,0,-200
74248606,2022-07-21T02:05:44.726000,2022-07-21T05:08:47.365000,buy,0.2,AUDUSDm,0.68926,0.69148,0,0,0,0,44.4
73680034,2022-07-20T14:22:21.619000,2022-07-21T02:05:34.342000,buy,0.1,USDCADm,1.28916,1.28779,0,0,0,0,-10.64
73675161,2022-07-20T14:17:10.375000,2022-07-21T02:05:15.425000,sell,0.5,GBPUSDm,1.19802,1.19848,0,0,0,0,-23
73664697,2022-07-20T14:07:26.108000,2022-07-20T14:16:57.358000,buy,0.5,GBPUSDm,1.19802,1.19802,0,0,0,0,0
73586046,2022-07-20T13:18:04.931000,2022-07-20T14:06:46.995000,buy,0.4,GBPUSDm,1.19905,1.19753,0,0,0,0,-60.8
73630897,2022-07-20T13:44:52.385000,2022-07-20T13:46:24.586000,buy,0.05,XAUUSDm,1710.259,1709.087,0,0,0,0,-5.86
73577930,2022-07-20T13:10:10.414000,2022-07-20T13:30:24.493000,buy,0.1,XAUUSDm,1709.092,1714.069,0,0,0,0,49.77
73548372,2022-07-20T12:42:28.491000,2022-07-20T13:17:56.077000,sell,0.3,GBPUSDm,1.19643,1.19909,0,0,0,0,-79.8
73549513,2022-07-20T12:43:35.429000,2022-07-20T13:10:01.056000,sell,0.1,XAUUSDm,1709.5,1708.756,0,0,0,0,7.44
73440990,2022-07-20T10:36:32.934000,2022-07-20T12:42:20.721000,buy,0.1,GBPUSDm,1.19871,1.19637,0,0,0,0,-23.4
73359232,2022-07-20T08:35:19.218000,2022-07-20T12:42:16.371000,buy,0.2,GBPUSDm,1.20077,1.19646,0,0,0,0,-86.2
73468748,2022-07-20T10:57:00.792000,2022-07-20T12:32:27.604000,buy,0.05,XAUUSDm,1708.389,1711.054,0,0,0,0,13.32
73349375,2022-07-20T08:16:09.543000,2022-07-20T08:35:14.137000,sell,0.2,GBPUSDm,1.20054,1.20073,0,0,0,0,-3.8
73347448,2022-07-20T08:12:49.175000,2022-07-20T08:16:02.239000,buy,0.15,GBPUSDm,1.20094,1.20041,0,0,0,0,-7.95
73342721,2022-07-20T08:05:14.144000,2022-07-20T08:12:42.256000,sell,0.1,GBPUSDm,1.20045,1.20091,0,0,0,0,-4.6
73135091,2022-07-20T03:20:59.071000,2022-07-20T06:05:34.565000,buy,0.1,GBPUSDm,1.20289,1.20195,0,0,0,0,-9.4
73054878,2022-07-19T23:09:11.052000,2022-07-20T06:05:29.831000,buy,0.1,AUDUSDm,0.69032,0.69107,0,0,0,0,7.5
